2.0000 :  DE
1.7857 :  MO
1.6071 :  IL
1.5000 :  VT
1.3333 :  MI
1.1176 :  PA
1.0625 :  AL
1.0000 :  WV
1.0000 :  IA
0.9091 :  KS
0.8571 :  CT
0.7778 :  WA
0.7500 :  NH
0.7500 :  RI
0.7273 :  TN
0.7273 :  SC
0.7222 :  LA
0.6000 :  WI
0.5753 :  FL
0.5000 :  ID
0.5000 :  MA
0.5000 :  SD
0.4815 :  CO
0.4667 :  DC
0.4615 :  GA
0.4557 :  CA
0.4118 :  IN
0.3929 :  NY
0.3333 :  ME
0.3333 :  AR
0.3125 :  NV
0.3000 :  NE
0.2692 :  NJ
0.2647 :  VA
0.2581 :  OH
0.1538 :  OR
0.1111 :  KY
0.0000 :  ND
0.0000 :  OK
0.0000 :  MT
0.0000 :  WY
-0.1071 :  AZ
-0.1200 :  TX
-0.1667 :  MN
-0.3667 :  NC
-0.6667 :  MD
-0.8000 :  NM
-0.8571 :  HI
-1.8333 :  MS
-3.6667 :  UT
-4.0000 :  AK
